Mfg#,Upc#,Case,GTIN  ,Description,Uom,Pack,Size,Category,Customer Price,Qty Available
35000,14116,14178,035000141163,Irish Spring Original Deodorant Soap Aloe                        ,CS,18,3.7 OZ      ,Bath/Body                     ,$37.71,35
35000,14118,14170,035000141187,Irish Spring Original Deodorant Soap Aloe                        ,CS,9,8/3.75 OZ   ,Bath/Body                     ,$42.29,193
35000,14127,14171,035000141279,IRISH SPRING ICY BLAST BATH                                      ,CS,9,8/3.75 OZ   ,Bath/Body                     ,$40.30,120
35000,14329,14172,035000143297,Irish Spring Original Deodorant Moisture Blast                   ,CS,9,3.75 OZ     ,Bath/Body                     ,$42.39,126
35000,44673,44673,035000446732,Ajax Super Degreaser Dish Liquid Lemon                           ,CS,9,28 OZ       ,Household cleaning supplies   ,$16.82,94
35000,44674,44674,035000446749,Ajax Dish Liquid Grapefruit                                      ,CS,9,28 OZ       ,Household cleaning supplies   ,$16.82,786
35000,44676,44676,035000446763,Ajax Dish Liquid Tropical Lime Twist                             ,CS,9,28 OZ       ,Household cleaning supplies   ,$16.17,859
35000,45043,45043,035000450432,PALM ULTRA SP OXY LAVEND                                         ,CS,9,20 OZ       ,Household cleaning supplies   ,$17.21,281
35000,45118,45118,035000451187,PALMOLIVE ULTRA ORIGINAL                                         ,CS,9,20 OZ       ,Household cleaning supplies   ,$18.51,2899
35000,46377,46377,035000463777,COLG TOTAL CLEAN MINT TP                                         ,CS,24,4.8 OZ      ,Grocery- other                ,$57.71,132
35000,46383,46383,035000463838,COLG TOTAL MINT STRIPE FAMILY                                    ,CS,24,4.8 OZ      ,Grocery- other                ,$57.71,331
35000,51089,51089,035000510891,COLG BAKING SODA FRESH MINT                                      ,CS,24,6 OZ        ,Grocery- other                ,$33.33,250
35000,51093,51093,035000510938,COLG SPARKLING WHITE MINT ZING                                   ,CS,24,6 OZ        ,Grocery- other                ,$38.81,86
35000,51406,51406,035000514066,COLG ANTICAVITY TOOTH                                            ,CS,24,4 OZ        ,Grocery- other                ,$28.31,130
35000,52101,52155,035000521019,Colg Sensitive Complete Protection Toothpaste                    ,CS,24,6 OZ        ,Oral Care                     ,$59.95,417
35000,52541,52152,035000525413,Colgate Max Strenght Sensitve Whitening Toothpaste               ,CS,24,6 OZ        ,Oral Care                     ,$72.14,13
35000,55114,55114,035000551146,Colgate Extra Clean Full Head Medium Toothbrush                  ,CS,72,1 CT        ,Oral Care                     ,$32.84,35
35000,55676,55676,035000556769,COLG EXTRA CLEAN SOFT TB                                         ,CS,72,1 CT        ,Grocery- other                ,$33.33,151
35000,76452,76666,035000764522,Colgate Max Fresh Toothpaste with Mini Breath Strips TP          ,CS,24,6 OZ        ,Oral Care                     ,$51.74,162
35000,76454,76454,035000764546,COLG MAX FRESH COOL MINT                                         ,CS,12,4.6 OZ      ,Grocery- other                ,$24.58,288
35000,76469,76667,035000764690,Colgate Max Fresh Toothpaste with Mini Breath Strips TP          ,CS,24,6 OZ        ,Oral Care                     ,$52.74,199
35000,76552,76662,035000765529,COLG MAX CLN FOAM EFFERVESCENT                                   ,CS,24,6 OZ        ,Grocery- other                ,$54.73,60
